,subject,session_id,electrode,electrode_type,fooof_export_path,offset,log knee,exponent,tau (ms),rsquared
3336,DBS4078,1,dbs_L4,dbs,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-1-dbs_L4-fooof.json,1.7151490629760056,-1.0,1.6827866696053342,1591.5494309189535,0.9631512761250032
3337,DBS4078,2,ecog_101,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_101-fooof.json,2.3042973680569028,1.1990292995796388,3.604611821181253,10.064468201651719,0.998688200258864
3338,DBS4078,2,ecog_102,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_102-fooof.json,2.25375994104823,1.2473003249051415,3.3420061915013792,9.0057483405745,0.9986828867355491
3339,DBS4078,2,ecog_103,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_103-fooof.json,2.143970438175357,1.331018503369049,3.6766634983266946,7.426798281919901,0.998868213192438
3340,DBS4078,2,ecog_104,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_104-fooof.json,2.018811848145947,1.2860016719790792,3.550453622665755,8.237936873225998,0.9986121741330294
3341,DBS4078,2,ecog_105,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_105-fooof.json,1.8927108695840407,1.3388835277630449,3.5758451498116997,7.293510354926218,0.9988827737218791
3342,DBS4078,2,ecog_106,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_106-fooof.json,1.470583862784525,1.2911902261357637,3.6027430211266678,8.140103098950478,0.9986586074016551
3343,DBS4078,2,ecog_107,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_107-fooof.json,1.2260330016911398,1.3315185499947626,3.5689223671029966,7.418251988120061,0.998934796325985
3344,DBS4078,2,ecog_108,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_108-fooof.json,1.1877624977580568,1.3388192939923313,3.5057063428509054,7.294589172039374,0.9987551801746251
3345,DBS4078,2,ecog_109,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_109-fooof.json,1.053620420351607,1.4073240100350226,3.5237710417071937,6.230115837050457,0.9984800165924215
