,subject,session_id,electrode,localization,fooof_export_path,CF1,PH1,BW1,CF2,PH2,BW2,CF3,PH3,BW3,CF4,PH4,BW4,CF5,PH5,BW5,CF6,PH6,BW6
39,sEEG-1021,0,LCM9,cortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-0-LCM9-fooof.json,14.23776685903041,0.42559985857963234,50.0,14.989780559169994,0.44140755822338384,3.76293658955527,15.396,0.4366496510639575,26.507671226906215,23.588,0.1473203340124556,26.316097895134718,27.29484695951854,0.13822189494361226,1.0336863317243143,,,
40,sEEG-1021,0,LCM10,cortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-0-LCM10-fooof.json,15.061984929528968,0.46833299896568725,3.8900075323293457,19.465720590661736,0.29168159704349783,6.320869173804832,26.673116570484794,0.08757256246980027,49.99992640497525,68.88240543928941,0.09506386352029672,44.97621904378688,190.94,0.06774701195049104,12.60734702101532,,,
41,sEEG-1021,0,RCM1,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-0-RCM1-fooof.json,2.736362752783593,0.7612659411013514,1.0,4.981081754497912,0.8547432379604594,2.915401637352634,8.74,0.5115769263978276,5.083166711503772,11.860885430385087,0.3514690768943556,1.0,16.433116570484795,0.20871487137289257,15.581142888178114,,,
42,sEEG-1021,0,RCM2,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-0-RCM2-fooof.json,5.95820431634316,0.7370754382518285,9.145250082822573,142.28795818896737,0.18675446574829735,44.280450338474814,148.51013207611695,0.20927737980834493,7.050321977729063,149.54,0.2128437311009037,14.355245479026992,158.57068450409966,0.24222229821322294,23.717045653069288,196.68413484290934,0.3597497928013418,49.30875161581794
43,sEEG-1021,0,RCM3,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-0-RCM3-fooof.json,4.300710760952094,1.021646741219481,6.2376043897223905,5.668,0.9346955305233209,1.7016663086089645,9.008616340396962,0.2957186254003048,1.0,9.692,0.2252487336139506,2.037715103469356,171.556,0.24212437915980267,50.0,199.68,0.2115981086099037,49.99911275600449
44,sEEG-1021,0,RCM4,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-0-RCM4-fooof.json,5.267474845427916,1.1109214165976127,7.867434099002551,137.67888342951522,0.15006747167858592,41.48386580211472,149.7428909288857,0.19159023580017198,19.25493684427073,153.5781912536978,0.20427709784683046,25.709534057237036,168.27411639948104,0.2313137971468393,32.448682280394856,199.68,0.305429416354265,29.418594270868503
45,sEEG-1021,0,RCM5,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-0-RCM5-fooof.json,2.6839424495077173,0.588968120312515,7.56656685651684,26.223505337927755,0.2733137785829758,3.106715224347905,164.9,0.10638575176564657,50.0,186.332,0.1341807547595142,50.0,194.3123933061638,0.12800859814515242,49.991752516368535,,,
46,sEEG-1021,0,RCM9,cortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-0-RCM9-fooof.json,3.0567154131844556,0.46281716706392295,1.0,7.644,0.00849854970424957,1.1727022908552802,31.268,0.17210967926905774,16.13695040068536,72.29023314096959,0.2504882728657769,50.0,73.2376776155241,0.25145756714296397,16.12507455804279,85.60223314096959,0.19866992676687723,29.61635713884509
47,sEEG-1021,0,RCM10,cortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-0-RCM10-fooof.json,3.997510371623477,0.3327726722659783,2.976404790936351,7.644,0.017708124259740998,2.7783690910211596,26.06737154817432,0.32791035211043607,9.954422004257427,34.63597111900181,0.2499219679155278,10.21522078640705,61.404,0.19176148156016382,7.034056241806279,78.00539665140928,0.25185750081111813,44.86610175903866
48,sEEG-1021,0,LCM2,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-0-LCM2-fooof.json,2.980665252401881,0.7580272198269746,1.4404016658062417,6.836975027475022,0.3864064446828479,28.16754407725845,8.193341415722111,0.43955830012848374,21.364183037952266,15.576015672401642,0.5700064576854906,13.8816118536566,146.79598132548554,0.18573526087955017,33.24696060911234,187.76453324788235,0.30496582971947106,49.999346089447634
49,sEEG-1021,0,LCM3,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-0-LCM3-fooof.json,4.170952543854472,0.6565659641890331,3.3859333673600736,8.392504163368011,0.3562502949994819,20.95582683510183,9.947285711842,0.3456981760194058,13.812568352982968,21.949491022621036,0.5340004762053727,7.571229233520287,157.22,0.2002121913459476,49.99602010239087,199.68,0.3119337367915964,49.96686621549529
50,sEEG-1021,0,LCM4,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-0-LCM4-fooof.json,2.6789464395927047,0.7862120321926334,1.1230912101128578,5.649047691558604,0.6958692419358012,3.7275921716986535,7.696038445895895,0.4428301704905273,15.156939406043339,8.30904610730389,0.35163309466538983,35.149146515152644,172.508,0.2352995938074791,34.69472068932043,180.16774217516968,0.24649807726374817,50.0
51,sEEG-1021,0,LCM5,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-0-LCM5-fooof.json,3.7241067385382425,0.6675912698764268,7.557828948076419,20.356777826428953,0.2677877410404932,4.079710619085562,163.27888342951522,0.15804453180307654,50.0,169.71798579087016,0.1714302292714791,27.58769639575251,172.3966503023264,0.17695759511197195,46.274322812450386,199.68,0.22073594184218592,28.85594604639373
52,sEEG-1021,1,LCM6,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-1-LCM6-fooof.json,1.8014237887322655,0.7492736194201353,1.4743621328725673,5.747968891582271,0.7369029188337084,4.312434625044093,17.720502445595148,0.3437396289337915,4.2767414708421185,159.26697543281844,0.16348296361820047,50.0,183.6256748557272,0.22244173461880123,8.328606180430778,199.67693361774172,0.23345269924270795,35.95674949464226
